country,year,description,logo_url
Irlande,2023,Équipe nationale : Irlande — Coupe du monde de rugby 2023.,/logos/irlande.png
Italie,2023,Équipe nationale : Italie — Coupe du monde de rugby 2023.,/logos/italie.png
Japon,2023,Équipe nationale : Japon — Coupe du monde de rugby 2023.,/logos/japon.png
Namibie,2023,Équipe nationale : Namibie — Coupe du monde de rugby 2023.,/logos/namibie.png
Nouvelle_Zélande,2023,Équipe nationale : Nouvelle-Zélande — Coupe du monde de rugby 2023.,/logos/nouvelle-zelande.png
Pays_de_Galles,2023,Équipe nationale : Pays de Galles — Coupe du monde de rugby 2023.,/logos/pays-de-galles.png
Portugal,2023,Équipe nationale : Portugal — Coupe du monde de rugby 2023.,/logos/portugal.png
Roumanie,2023,Équipe nationale : Roumanie — Coupe du monde de rugby 2023.,/logos/roumanie.png
Samoa,2023,Équipe nationale : Samoa — Coupe du monde de rugby 2023.,/logos/samoa.png
Tonga,2023,Équipe nationale : Tonga — Coupe du monde de rugby 2023.,/logos/tonga.png
Uruguay,2023,Équipe nationale : Uruguay — Coupe du monde de rugby 2023.,/logos/uruguay.png
